"","part_id","diaryday","work_loc","largegroup","social_cont"
"489",245,"Second day","telecommute","Yes",3
"490",245,"First day","telecommute","Yes",4
"491",246,"Second day","telecommute","No",4
"492",246,"First day","telecommute","No",6
"493",247,"First day","telecommute","Yes",5
"494",247,"Second day","telecommute","Yes",2
"495",248,"Second day","telecommute","Yes",3
"496",248,"First day","telecommute","No",6
"497",249,"First day","telecommute","No",2
"498",249,"Second day","telecommute","No",2
"499",250,"Second day","telecommute","Yes",4
"500",250,"First day","telecommute","No",2
"501",251,"Second day",NA,"No",3
"502",251,"First day",NA,"No",2
"503",252,"First day","telecommute","Yes",4
"504",252,"Second day","telecommute","Yes",3
"505",253,"First day","telecommute","No",3
"506",253,"Second day","telecommute","No",3
"507",254,"First day","telecommute","No",7
"508",254,"Second day","telecommute","No",4
"509",255,"First day","telecommute","No",4
"510",255,"Second day","telecommute","No",1
"511",256,"Second day","telecommute","No",2
"512",256,"First day","telecommute","No",1
"513",257,"Second day","telecommute","No",1
"514",257,"First day","telecommute","No",1
"515",258,"Second day","telecommute","No",4
"516",258,"First day","telecommute","No",2
"517",259,"First day","telecommute","Yes",3
"518",259,"Second day","telecommute","Yes",2
"519",260,"First day","telecommute","Yes",7
"520",260,"Second day","telecommute","Yes",6
"521",261,"Second day","office","No",7
"522",261,"First day","office","No",7
"523",262,"First day","telecommute","No",1
"524",262,"Second day","telecommute","No",1
"525",263,"Second day","telecommute","Yes",2
"526",263,"First day","telecommute","Yes",2
"527",264,"Second day","telecommute","No",5
"528",264,"First day","telecommute","No",8
"529",265,"First day","telecommute","No",5
"530",265,"Second day","telecommute","No",3
"531",266,"First day","telecommute","Yes",4
"532",266,"Second day","telecommute","Yes",1
"533",267,"First day","telecommute","No",0
"534",267,"Second day","telecommute","Yes",1
"535",268,"Second day","telecommute","No",1
"536",268,"First day","telecommute","No",1
"537",269,"Second day","telecommute","No",3
"538",269,"First day","telecommute","No",3
"539",270,"First day","telecommute","No",0
"540",270,"Second day","telecommute","No",0
"541",271,"Second day","telecommute","No",1
"542",271,"First day","telecommute","No",1
"543",272,"Second day","telecommute","No",1
"544",272,"First day","telecommute","No",1
"545",273,"Second day","telecommute","No",4
"546",273,"First day","both","No",4
"547",274,"First day","telecommute","Yes",2
"548",274,"Second day","telecommute","No",1
"549",275,"Second day","telecommute","No",5
"550",275,"First day","telecommute","Yes",2
"551",276,"First day","telecommute","No",4
"552",276,"Second day","telecommute","No",5
"553",277,"Second day","telecommute","No",0
"554",277,"First day","telecommute","No",0
"555",278,"Second day","telecommute","Yes",4
"556",278,"First day","telecommute","No",2
"557",279,"Second day","telecommute","No",3
"558",279,"First day","telecommute","No",1
"559",280,"First day","telecommute","No",1
"560",280,"Second day","telecommute","No",1
"561",281,"Second day","telecommute","No",4
"562",281,"First day","telecommute","No",4
"563",282,"First day","telecommute","No",3
"564",282,"Second day","telecommute","No",3
"565",283,"Second day","telecommute","No",1
"566",283,"First day","telecommute","No",1
"567",284,"Second day","telecommute","Yes",1
"568",284,"First day","telecommute","No",0
"569",285,"Second day","telecommute","Yes",0
"570",285,"First day","telecommute","No",0
"571",286,"First day","telecommute","Yes",9
"572",286,"Second day","telecommute","No",4
"573",287,"First day","telecommute","No",3
"574",287,"Second day","telecommute","No",3
"575",288,"Second day","telecommute","No",3
"576",288,"First day","telecommute","No",3
"577",289,"Second day","telecommute","No",3
"578",289,"First day","telecommute","No",3
"579",290,"First day","telecommute","Yes",1
"580",290,"Second day","telecommute","Yes",1
"581",291,"First day","telecommute","Yes",7
"582",291,"Second day","telecommute","No",3
"583",292,"Second day","telecommute","No",1
"584",292,"First day","telecommute","No",1
"585",293,"First day","telecommute","Yes",2
"586",293,"Second day","telecommute","Yes",2
"587",294,"Second day","telecommute","No",4
"588",294,"First day","telecommute","No",7
"589",295,"Second day","telecommute","No",4
"590",295,"First day","telecommute","No",4
"591",296,"Second day","telecommute","No",0
"592",296,"First day","telecommute","No",0
"593",297,"First day","telecommute","Yes",3
"594",297,"Second day","telecommute","No",1
"595",298,"First day","telecommute","Yes",2
"596",298,"Second day","telecommute","Yes",2
"597",299,"First day","telecommute","No",5
"598",299,"Second day","telecommute","No",4
"599",300,"Second day","telecommute","No",7
"600",300,"First day","telecommute","Yes",5
"601",301,"Second day","telecommute","No",0
"602",301,"First day","telecommute","No",0
"603",302,"Second day","telecommute","No",1
"604",302,"First day","telecommute","No",2
"605",303,"Second day","telecommute","No",0
"606",303,"First day","telecommute","No",1
"607",304,"Second day","telecommute","No",2
"608",304,"First day","telecommute","No",1
